id,path,text_name,extension,size,folder,num_files,depth,parent,uid
175,Google_20221008/云端硬盘/cs231n/assignments/assignment1/cs231n/classifiers/__pycache__/softmax.cpython-37.pyc,softmax.cpython-37,pyc,1383,0,,7,171,501
176,Google_20221008/云端硬盘/cs231n/assignments/assignment1/cs231n/classifiers/__pycache__/__init__.cpython-37.pyc,__init__.cpython-37,pyc,235,0,,7,171,501
177,Google_20221008/云端硬盘/cs231n/assignments/assignment1/cs231n/classifiers/k_nearest_neighbor.py,k_nearest_neighbor,py,8534,0,,6,167,501
178,Google_20221008/云端硬盘/cs231n/assignments/assignment1/cs231n/classifiers/linear_classifier.py,linear_classifier,py,5788,0,,6,167,501
179,Google_20221008/云端硬盘/cs231n/assignments/assignment1/cs231n/classifiers/softmax.py,softmax,py,2422,0,,6,167,501
180,Google_20221008/云端硬盘/cs231n/assignments/assignment1/makepdf.py,makepdf,py,1158,0,,4,140,501
181,Google_20221008/云端硬盘/cs231n/assignments/assignment1/features.ipynb,features,ipynb,14353,0,,4,140,501
182,Google_20221008/云端硬盘/cs231n/assignments/assignment1/knn.ipynb,knn,ipynb,366731,0,,4,140,501
183,Google_20221008/云端硬盘/cs231n/assignments/assignment1/README.md,README,md,130,0,,4,140,501
184,Google_20221008/云端硬盘/cs231n/assignments/assignment1/softmax.ipynb,softmax,ipynb,13727,0,,4,140,501
185,Google_20221008/云端硬盘/cs231n/assignments/assignment1/collect_submission.ipynb,collect_submission,ipynb,1828,0,,4,140,501
186,Google_20221008/云端硬盘/cs231n/assignments/assignment1/collectSubmission.sh,collectSubmission,sh,1257,0,,4,140,501
187,Google_20221008/云端硬盘/cs231n/assignments/assignment1/svm.ipynb,svm,ipynb,351194,0,,4,140,501
188,Google_20221008/云端硬盘/已删除邮件,已删除邮件,,110767367,1,6,2,128,501
189,Google_20221008/云端硬盘/已删除邮件/Swiss-Dutch Lodging,Swiss-Dutch Lodging,,190173,1,2,3,188,501
190,Google_20221008/云端硬盘/已删除邮件/Swiss-Dutch Lodging/12.27-12.28 Zurich.pdf,12.27-12.28 Zurich,pdf,36213,0,,3,189,501
191,Google_20221008/云端硬盘/已删除邮件/Swiss-Dutch Lodging/Bookforvisa-Flight-Itinerary.pdf,Bookforvisa-Flight-Itinerary,pdf,153960,0,,3,189,501
192,Google_20221008/云端硬盘/已删除邮件/High Art,High Art,,489233,1,2,3,188,501
193,Google_20221008/云端硬盘/已删除邮件/High Art/Manga _ Comic.docx,Manga _ Comic,docx,6092,0,,3,192,501
194,"Google_20221008/云端硬盘/已删除邮件/High Art/Tarkovsky, Mirror.JPG","Tarkovsky, Mirror",JPG,483141,0,,3,192,501
195,Google_20221008/云端硬盘/已删除邮件/dev_ds.zip,dev_ds,zip,47682113,0,,2,188,501
196,Google_20221008/云端硬盘/已删除邮件/banana_model,banana_model,,62405496,1,1,3,188,501
197,Google_20221008/云端硬盘/已删除邮件/banana_model/model.h5,model,h5,62405496,0,,3,196,501
198,Google_20221008/云端硬盘/Trip Planning,Trip Planning,,3169,1,2,2,128,501
199,Google_20221008/云端硬盘/Trip Planning/2021.12.11-15 Chicago City.kmz,2021.12.11-15 Chicago City,kmz,2043,0,,2,198,501
200,Google_20221008/云端硬盘/Trip Planning/2022.3.21-24 New York City.kmz,2022.3.21-24 New York City,kmz,1126,0,,2,198,501
201,Google_20221008/云端硬盘/未整理,未整理,,3772856,1,10,2,128,501
202,Google_20221008/云端硬盘/未整理/Norway Schengen Checklist.docx,Norway Schengen Checklist,docx,8455,0,,2,201,501
203,Google_20221008/云端硬盘/未整理/12.11-13 Oslo.pdf,12.11-13 Oslo,pdf,69803,0,,2,201,501
204,Google_20221008/云端硬盘/未整理/schengen-visa-document-checklist-with-business-.pdf,schengen-visa-document-checklist-with-business-,pdf,352436,0,,2,201,501
205,Google_20221008/云端硬盘/未整理/12.13-15 Bergen.pdf,12.13-15 Bergen,pdf,69742,0,,2,201,501
206,Google_20221008/云端硬盘/未整理/12.18-23 Stockholm.pdf,12.18-23 Stockholm,pdf,69551,0,,2,201,501
207,Google_20221008/云端硬盘/未整理/Norway Tourist Schengen Visa - Single Entry.docx,Norway Tourist Schengen Visa - Single Entry,docx,9665,0,,2,201,501
208,Google_20221008/云端硬盘/未整理/Meeting Notes 9_18-comments.html,Meeting Notes 9_18-comments,html,4488,0,,2,201,501
209,Google_20221008/云端硬盘/未整理/Schengen Itinerary - Angel.docx,Schengen Itinerary - Angel,docx,3110271,0,,2,201,501
210,Google_20221008/云端硬盘/未整理/12.15-18 Tromso.pdf,12.15-18 Tromso,pdf,69948,0,,2,201,501
211,Google_20221008/云端硬盘/未整理/Meeting Notes,Meeting Notes,,0,1,0,3,201,501
212,Google_20221008/云端硬盘/未整理/Itinerary,Itinerary,,0,1,0,3,201,501
213,Google_20221008/云端硬盘/未整理/Lodging,Lodging,,0,1,0,3,201,501
214,Google_20221008/云端硬盘/未整理/Meeting Notes 9_18.docx,Meeting Notes 9_18,docx,8305,0,,2,201,501
215,Google_20221008/云端硬盘/Reading Notes,Reading Notes,,7225,1,1,2,128,501
216,"Google_20221008/云端硬盘/Reading Notes/Katherine Hayles, How We Became Posthuman.docx","Katherine Hayles, How We Became Posthuman",docx,7225,0,,2,215,501
217,Google_20221008/云端硬盘/YifanZou_Resume.pdf,YifanZou_Resume,pdf,162439,0,,1,128,501
218,Google_20221008/云端硬盘/graph.json,graph,json,24683,0,,1,128,501
219,Google_20221008/云端硬盘/无标题演示文稿.pptx,无标题演示文稿,pptx,32170,0,,1,128,501
220,Google_20221008/云端硬盘/2022.12.22-28 Swizterland.kmz,2022.12.22-28 Swizterland,kmz,1465,0,,1,128,501
221,Google_20221008/云端硬盘/MyWritings,MyWritings,,6660,1,1,2,128,501
222,Google_20221008/云端硬盘/MyWritings/Self-Intros.docx,Self-Intros,docx,6660,0,,2,221,501
223,Google_20221008/云端硬盘/Memories,Memories,,340088580,1,2,2,128,501
224,Google_20221008/云端硬盘/Memories/video2856286511.mp4,video2856286511,mp4,238577326,0,,2,223,501
225,Google_20221008/云端硬盘/Memories/video1856286511.mp4,video1856286511,mp4,101511254,0,,2,223,501
226,Google_20221008/云端硬盘/Outlook,Outlook,,222873,1,3,2,128,501
227,Google_20221008/云端硬盘/Outlook/Flight-Itinerary-52809.pdf,Flight-Itinerary-52809,pdf,153960,0,,2,226,501
228,Google_20221008/云端硬盘/Outlook/ID_Card_0.pdf,ID_Card_0,pdf,52936,0,,2,226,501
229,Google_20221008/云端硬盘/Outlook/Zou Yifan 202209071739070212.pdf,Zou Yifan 202209071739070212,pdf,15977,0,,2,226,501
230,Google_20221008/环聊,环聊,,25,1,1,1,1,501
231,Google_20221008/环聊/Hangouts.json,Hangouts,json,25,0,,1,230,501
232,Google_20221008/Google Pay,Google Pay,,71201,1,3,1,1,501
233,Google_20221008/Google Pay/汇款和请求付款,汇款和请求付款,,59,1,1,2,232,501
234,Google_20221008/Google Pay/汇款和请求付款/汇款和请求付款.csv,汇款和请求付款,csv,59,0,,2,233,501
